gbifID,institutionCode,collectionCode,basisOfRecord,eventDate,year,month,day,decimalLatitude,decimalLongitude,kingdom,phylum,class,order,family,genus,species,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Name,level2Name,iucnRedListCategory
919435034,MSU,MR,PRESERVED_SPECIMEN,8/1/62,1962,8,1,5.96667,8.7,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Cross River,Ikom,NE
919421186,MSU,MR,PRESERVED_SPECIMEN,8/1/62,1962,8,1,5.96667,8.7,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Cross River,Ikom,NE
919418210,MSU,MR,PRESERVED_SPECIMEN,1955-03,1955,3,,6.53333,9.26667,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Potamochoerus,Potamochoerus porcus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Cross River,Obanliku,LC
899951395,iNaturalist,Observations,HUMAN_OBSERVATION,3/17/14,2014,3,17,6.441158,3.417977,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Taphozous,Taphozous mauritianus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Lagos,Eti-Osa,LC
891742400,iNaturalist,Observations,HUMAN_OBSERVATION,4/3/13,2013,4,3,8.422145,4.452652,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon,Eidolon helvum,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,NT
891140751,iNaturalist,Observations,HUMAN_OBSERVATION,2013-02-14T14:02,2013,2,14,10.315055,12.883601,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon,Eidolon helvum,AFRICA,NORTH_AMERICA,NGA,Nigeria,Adamawa,Hong,NT
865748214,MHNG,"Mammals housed at MHNG, Geneva",PRESERVED_SPECIMEN,4/18/77,1977,4,18,6.17531,7.01218,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,,AFRICA,EUROPE,NGA,Nigeria,Anambra,Njikoka,NE
865748213,MHNG,"Mammals housed at MHNG, Geneva",PRESERVED_SPECIMEN,4/18/77,1977,4,18,6.17531,7.01218,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,,AFRICA,EUROPE,NGA,Nigeria,Anambra,Njikoka,NE
865748209,MHNG,"Mammals housed at MHNG, Geneva",PRESERVED_SPECIMEN,4/18/77,1977,4,18,6.17531,7.01218,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,,AFRICA,EUROPE,NGA,Nigeria,Anambra,Njikoka,NE
865748160,MHNG,"Mammals housed at MHNG, Geneva",PRESERVED_SPECIMEN,9/25/77,1977,9,25,10.5231,7.4403,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbilliscus,Gerbilliscus kempii,AFRICA,EUROPE,NGA,Nigeria,Kaduna,Kaduna South,LC
